sop_call_type,agent_id,agent_name,agent_name_confidence,agent_identity_source,call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role,sentiment_label,sentiment_score,positive_component,neutral_component,negative_component,experience_classifier_used,customer_experience_label,is_customer_experience_negative,customer_experience_confidence,customer_experience_reason,customer_experience_issue_theme,customer_experience_issue_pointer
Other,A007,Sneha,High,registry_name_match,CALL007,11,SPEAKER_2,38.7,42.3,3.6,"Sir, I would like to get your basic details, such as your age.",Agent,Positive,0.3612,0.172,0.828,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,12,SPEAKER_1,43.1,43.8,0.7,Forty.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,13,SPEAKER_2,44.6,47.1,2.5,"Forty. And sir, your profession?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,14,SPEAKER_1,48.4,51.1,2.7,"Yes, I am in the telecom industry, ma'am.",Customer,Positive,0.4019,0.278,0.722,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,15,SPEAKER_2,52.6,55.4,2.8,"Okay. And sir, how many members are there in your family?",Agent,Positive,0.2263,0.16,0.84,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,16,SPEAKER_1,57.1,57.8,0.7,Which number is this?,Customer,Positive,0.0772,0.302,0.698,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,17,SPEAKER_2,58.6,62.0,3.4,"Three members. And sir, which four-wheeler vehicle do you have?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,18,SPEAKER_1,62.6,64.5,1.9,"Ma'am, I have a Mahindra Thar, a four-wheeler.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,19,SPEAKER_2,65.1,66.1,1.0,Mahindra Thar.,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,20,SPEAKER_1,66.9,67.3,0.4,Hmm hmm.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,21,SPEAKER_2,68.0,70.0,2.0,"Okay, for rocks?",Agent,Positive,0.2263,0.487,0.513,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,22,SPEAKER_1,71.0,72.4,1.4,"No, it's not a rock, ma'am. It's a three-door.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,23,SPEAKER_2,72.4,79.6,7.2,"It  was  only...  okay.  And  sir,  where  did  you  first  see  the  Mahindra  Adventure  event?  Like  Instagram,",Agent,Positive,0.6908,0.324,0.676,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,24,SPEAKER_1,80.2,82.5,2.3,"No, I don't remember that, but I have been to the event two or three times.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,25,SPEAKER_2,83.7,85.7,2.0,"Okay, so...",Agent,Positive,0.2263,0.655,0.345,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,26,SPEAKER_2,87.1,94.7,7.6,"Sir, you were just watching, you hadn't subscribed to Mahindra's adventure event, right? So you...",Agent,Positive,0.3182,0.141,0.859,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,27,SPEAKER_1,93.9,96.1,2.2,"No, ma'am, I participated in the Mahindra event.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,28,SPEAKER_2,97.6,102.1,4.5,"Okay. Which location were you looking for, sir?",Agent,Positive,0.2263,0.213,0.787,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,29,SPEAKER_1,101.6,107.4,5.8,"I have been to your academy, and I also went to your normal event show in Purnia.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,30,SPEAKER_2,109.2,109.9,0.7,Okay.,Agent,Positive,0.2263,1.0,0.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,31,SPEAKER_2,110.9,118.5,7.6,"Actually, sir, regarding the call you made, you inquired, but for some reason, you didn't subscribe. So I",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,32,SPEAKER_1,118.1,125.3,7.2,"Ma'am, I had another plan regarding the weekend, but it couldn't happen because of that. I had a plan,",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,33,SPEAKER_2,126.8,133.2,6.4,"Okay, so that's why you didn't subscribe, right? So which event were you watching at that time?",Agent,Positive,0.3094,0.124,0.876,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,34,SPEAKER_1,131.4,131.8,0.4,Which one?,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,35,SPEAKER_1,134.0,140.5,6.5,"Ma'am, I don't remember that either, but you had an event on February 21 or 22. Which location, sir?",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,36,SPEAKER_2,139.3,140.7,1.4,"At which location, sir?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,37,SPEAKER_1,141.6,143.3,1.7,"No, I was only near Mumbai.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,38,SPEAKER_2,143.9,152.5,8.6,"It was in Mumbai itself. And where did you see it? I mean, where did you see Mahindra's first adventure",Agent,Positive,0.3182,0.108,0.892,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,39,SPEAKER_1,151.2,154.7,3.5,"Ma'am, I follow you on Instagram. You keep coming to me.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,40,SPEAKER_2,154.2,157.4,3.2,"Okay, you had seen it on Instagram itself. Instagram, okay.",Agent,Positive,0.4215,0.322,0.678,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,41,SPEAKER_2,159.1,162.2,3.1,"Sir, can I know the name of that adventure?",Agent,Positive,0.3182,0.223,0.777,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,42,SPEAKER_1,163.3,168.2,4.9,I don't remember the name right now. Please check your calendar once more to see what was said to,Customer,Positive,0.3182,0.113,0.887,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,43,SPEAKER_2,165.4,166.1,0.7,"Now, once on your own...",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,44,SPEAKER_2,169.1,180.0,10.9,"Okay. And sir, whenever you canceled the plan, were you also watching any other event or outdoor",Agent,Positive,0.2263,0.106,0.894,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,45,SPEAKER_1,180.4,182.5,2.1,"No, ma'am, I don't want any other order.",Customer,Negative,-0.0572,0.0,0.851,0.149,Yes,Factual Neutral,False,0.9,"Customer is providing a factual, negative response to an offer, no dissatisfaction expressed.",,
Other,A007,Sneha,High,registry_name_match,CALL007,46,SPEAKER_2,182.8,199.1,16.3,"They were not visible, okay. So, sir, what do you think? I mean, by when should we inform you if the",Agent,Negative,-0.1695,0.0,0.923,0.077,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,47,SPEAKER_1,198.0,199.0,1.0,Then I also said four.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,48,SPEAKER_1,199.1,211.6,12.5,"You  should  inform  about  the  four-week  package  in  advance,  meaning  that  such  an  event  is  being",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,49,SPEAKER_2,203.6,203.9,0.3,"No, no.",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,50,SPEAKER_2,212.1,216.1,4.0,"Right, so we should inform you four weeks in advance, right? We should inform you.",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,51,SPEAKER_1,215.4,215.6,0.2,Yes.,Customer,Positive,0.4019,1.0,0.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,52,SPEAKER_1,216.3,216.8,0.5,Yes.,Customer,Positive,0.4019,1.0,0.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,53,SPEAKER_2,216.7,223.4,6.7,"Okay. And sir, what are the things that should be improved so that you can subscribe in the future?",Agent,Positive,0.6124,0.227,0.773,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,54,SPEAKER_1,225.1,229.9,4.8,"Ma'am, your outdoor events, like the escape one in Pune, right?",Customer,Positive,0.4939,0.318,0.682,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,55,SPEAKER_2,227.3,227.7,0.4,Yes.,Agent,Positive,0.4019,1.0,0.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,56,SPEAKER_2,230.5,230.9,0.4,Yes.,Agent,Positive,0.4019,1.0,0.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,57,SPEAKER_1,231.2,252.5,21.3,"So  because  of  that,  it  was  like,  I  mean,  it  wasn't  managed  properly.  I  don't  know  if  Mahindra  did  it",Customer,Positive,0.3612,0.116,0.884,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,58,SPEAKER_2,254.0,255.1,1.1,"Okay, so...",Agent,Positive,0.2263,0.655,0.345,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,59,SPEAKER_1,254.8,266.6,11.8,"Right, like if a car is getting stuck ahead, then behind, the entire... I mean, all the people are getting",Customer,Positive,0.128,0.111,0.8,0.089,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,60,SPEAKER_2,255.4,256.1,0.7,"No, no.",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,61,SPEAKER_2,268.8,273.1,4.3,"Okay, so according to you, this thing, the management, should be proper, right?",Agent,Positive,0.2263,0.137,0.863,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,62,SPEAKER_1,273.9,274.6,0.7,"Yes, absolutely.",Customer,Positive,0.4019,0.73,0.27,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,63,SPEAKER_2,275.3,275.9,0.6,Okay.,Agent,Positive,0.2263,1.0,0.0,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,64,SPEAKER_2,277.3,285.8,8.5,"Okay, Sharma ji, so I will mention your feedback here. It was nice talking to you, sir. Thank you very",Agent,Positive,0.7351,0.298,0.702,0.0,No,,False,,,,
Other,A007,Sneha,High,registry_name_match,CALL007,65,SPEAKER_1,286.3,287.0,0.7,"Thank you, ma'am. Okay.",Customer,Positive,0.5267,0.688,0.312,0.0,No,,False,,,,
