output_version,output_generated_at,call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role
run_004,2026-07-02T17:28:33,CALL006,39,SPEAKER_2,152.4,156.1,3.7,"Okay, okay. It's a little far.",Customer
run_004,2026-07-02T17:28:33,CALL006,40,SPEAKER_1,160.2,163.6,3.4,"Okay, due to the long distance, you showed interest, right?",Agent
run_004,2026-07-02T17:28:33,CALL006,41,SPEAKER_2,164.1,164.6,0.5,"Yeah, yeah.",Customer
run_004,2026-07-02T17:28:33,CALL006,42,SPEAKER_1,165.2,170.3,5.1,"Okay, so you finally canceled this plan. What was the reason?",Agent
run_004,2026-07-02T17:28:33,CALL006,43,SPEAKER_2,171.7,176.5,4.8,"Actually, I couldn't get leave for that day, so...",Customer
run_004,2026-07-02T17:28:33,CALL006,44,SPEAKER_1,177.7,180.5,2.8,There was a time issue.,Agent
run_004,2026-07-02T17:28:33,CALL006,45,SPEAKER_2,180.8,181.8,1.0,"Yeah, thank you.",Customer
run_004,2026-07-02T17:28:33,CALL006,46,SPEAKER_1,182.3,188.2,5.9,"Okay, time issue. Was there any other reason for not attending the event?",Agent
run_004,2026-07-02T17:28:33,CALL006,47,SPEAKER_2,198.3,199.3,1.0,"No, only time.",Customer
run_004,2026-07-02T17:28:33,CALL006,48,SPEAKER_1,199.6,203.0,3.4,"So, are you currently looking for any more outdoor experiences?",Agent
run_004,2026-07-02T17:28:33,CALL006,49,SPEAKER_2,204.4,210.3,5.9,"Actually, not now, but I will in the future.",Customer
run_004,2026-07-02T17:28:33,CALL006,50,SPEAKER_1,211.1,230.8,19.7,"Okay, so you are not looking now, but in the future, you will. When should we inform you about the adventure event? Less than 1 week, within 1 to 2 weeks, within 2 to 4 weeks, within 1 to 2 months, or more than 2 months?",Agent
run_004,2026-07-02T17:28:33,CALL006,51,SPEAKER_2,231.4,232.9,1.5,Within 2 to 4 weeks.,Customer
run_004,2026-07-02T17:28:33,CALL006,52,SPEAKER_1,233.3,240.9,7.6,2 to 4 weeks. Is there anything we can improve in the Mahindra Adventures event?,Agent
run_004,2026-07-02T17:28:33,CALL006,53,SPEAKER_2,242.3,257.9,15.6,"Actually, if the program is conducted in the Kerala region or South region more often, there's a lot of interest from people in Kerala. They would love to attend.",Customer
run_004,2026-07-02T17:28:33,CALL006,54,SPEAKER_1,258.4,262.9,4.5,"Okay, so there should be more options for the South region, especially Kerala, right?",Agent
run_004,2026-07-02T17:28:33,CALL006,55,SPEAKER_2,262.3,265.5,3.2,Right.,Customer
run_004,2026-07-02T17:28:33,CALL006,56,SPEAKER_1,268.2,272.3,4.1,Is there anything else we can improve in our adventure events?,Agent
run_004,2026-07-02T17:28:33,CALL006,57,SPEAKER_2,274.3,279.4,5.1,"No, thatâ€™s all.",Customer
run_004,2026-07-02T17:28:33,CALL006,58,SPEAKER_1,279.4,287.5,8.1,"Okay. Thank you, sir. Your feedback has been captured. As you mentioned, due to the time issue, you canceled the plan, right?",Agent
run_004,2026-07-02T17:28:33,CALL006,59,SPEAKER_2,287.7,288.4,0.7,"Yes, sir.",Customer
run_004,2026-07-02T17:28:33,CALL006,60,SPEAKER_1,288.6,292.9,4.3,"Okay, thank you, Mr. Naz, for your feedback. Have a nice day, Mr. Naz.",Agent
run_004,2026-07-02T17:28:33,CALL006,61,SPEAKER_2,293.1,293.9,0.8,"Okay, thank you, thank you.",Customer
run_004,2026-07-02T17:28:33,CALL006,62,SPEAKER_1,294.1,294.8,0.7,You're welcome.,Agent
