call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role
CALL004,43,SPEAKER_2,178.7,184.7,6.0,And the location where they had given the mapping was also very good. I had never seen it even while living in Nagpur.,Customer
CALL004,44,SPEAKER_1,208.8,220.8,12.0,"Okay,  it's  good  to  hear  that  you  really  liked  the  location.  And  ma'am,  before  booking  the  Mahindra Adventure, did you have any outdoor experience?",Agent
CALL004,45,SPEAKER_2,222.2,229.4,7.2,"No, we keep doing that. We don't do anything else. We keep moving the car around in the field.",Customer
CALL004,46,SPEAKER_1,227.6,228.1,0.5,Okay.,Agent
CALL004,47,SPEAKER_1,229.8,240.7,10.9,"And ma'am, this decision to participate in this adventure event, was it totally your own decision or your partner's or your children's?",Agent
CALL004,48,SPEAKER_2,240.6,249.3,8.7,"No, no, it's mine. My son is eighteen years old right now, so we just keep him with us. He's about to turn eighteen. The rest of the decision is mine.",Customer
CALL004,49,SPEAKER_1,249.8,258.0,8.2,"Okay, ma'am, how many days before any adventure event should you be informed so that you can manage your schedule accordingly?",Agent
CALL004,50,SPEAKER_2,258.3,261.9,3.6,"At least one week before, ten days before, at least ten days.",Customer
CALL004,51,SPEAKER_2,262.7,278.1,15.4,"Because we keep our schedule completely fixed, right? Yes, yes, right. Where to go, what to do. So at least keep it within ten to twelve days. There should be at least ten days to decide whether to go or not.",Customer
CALL004,52,SPEAKER_1,266.0,266.9,0.9,"Yes, yes, right.",Agent
CALL004,53,SPEAKER_1,278.5,291.0,12.5,"Okay, and ma'am, according to the last trip you liked, what was the one thing you really liked? In the future, would you like to participate in our Mahindra adventure events?",Agent
CALL004,54,SPEAKER_2,290.1,302.5,12.4,"I just received a message from someone near Nagpur, actually from a place in Manali. So I am trying, but it will be quite far. There was no one around Nagpur. So I will definitely do an adventure.",Customer
CALL004,55,SPEAKER_1,302.8,313.5,10.7,"Okay, so you liked the location. Besides the location, ma'am, what other things did you like, like the event that was organized? Or anything else?",Agent
CALL004,56,SPEAKER_2,314.1,324.3,10.2,"Everything  was  good.  I  liked  everything.  The  ride  was  good,  but  in  an  adventure,  one  should  also consider the speed, which Mahindra doesn't.",Customer
CALL004,57,SPEAKER_2,332.6,339.9,7.3,"There shouldn't be a speed limit, right? I have a speed limit of 200 kmph. I have a 2200 cc engine, so there shouldn't be a speed limit, right?",Customer
CALL004,58,SPEAKER_1,340.3,341.4,1.1,"Yes, yes, right.",Agent
CALL004,59,SPEAKER_2,340.8,353.1,12.3,"I have been driving something else for a year. In an event, the task is fine for one or two times, but the event should also happen. When I am driving a 2200 cc engine, I should have a speed limit. One event should happen in that as well.",Customer
CALL004,60,SPEAKER_1,353.6,363.9,10.3,"Okay, ma'am, definitely. We will consider it in the future. Your feedback is complete, and thank you very much for giving your valuable time. Your feedback is very important to us. Thank you so much, and have a great day.",Agent
CALL004,61,SPEAKER_2,364.5,365.1,0.6,Welcome.,Customer
