output_version,output_generated_at,sop_call_type,agent_id,agent_name,agent_name_confidence,agent_identity_source,call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role,sentiment_label,sentiment_score,positive_component,neutral_component,negative_component,experience_classifier_used,customer_experience_label,is_customer_experience_negative,customer_experience_confidence,customer_experience_reason,customer_experience_issue_theme,customer_experience_issue_pointer
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,20,SPEAKER_1,89.1,91.0,1.9,"Scorpio, right? Scorpio Classic?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,21,SPEAKER_2,92.1,93.1,1.0,Sportive Class.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,22,SPEAKER_1,93.7,96.1,2.4,Scorpio Classic. And which other vehicle do you have?,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,23,SPEAKER_2,95.7,98.2,2.5,And Hilux. My brother has a Hilux.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,24,SPEAKER_1,98.2,99.8,1.6,And which one do you personally own?,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,25,SPEAKER_2,100.3,100.8,0.5,Hilux.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,26,SPEAKER_1,101.5,109.3,7.8,"Okay. So, from where did you hear about the Mahindra Adventures event?",Agent,Positive,0.5106,0.301,0.699,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,27,SPEAKER_2,114.5,115.2,0.7,Instagram.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,28,SPEAKER_1,115.8,118.3,2.5,Instagram. And for which location did you see it?,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,29,SPEAKER_2,119.5,120.7,1.2,"Coorg, thank you.",Customer,Positive,0.3612,0.556,0.444,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,30,SPEAKER_1,121.3,121.9,0.6,Coorg?,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,31,SPEAKER_2,122.3,122.7,0.4,Yeah.,Customer,Positive,0.296,1.0,0.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,32,SPEAKER_1,123.2,132.2,9.0,"Okay, okay. So, what was the reason you showed interest in the Coorg location?",Agent,Positive,0.7003,0.382,0.618,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,33,SPEAKER_2,130.6,134.0,3.4,"Yeah, I couldn't get leave.",Customer,Positive,0.3287,0.527,0.473,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,34,SPEAKER_1,134.7,140.1,5.4,"No, no. What was the reason you showed interest in the Coorg location specifically?",Agent,Positive,0.4588,0.188,0.812,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,35,SPEAKER_2,141.2,141.7,0.5,Sir?,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,36,SPEAKER_1,141.9,142.6,0.7,For the win.,Agent,Positive,0.5859,0.655,0.345,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,37,SPEAKER_2,143.9,144.6,0.7,"Pardon, sir.",Customer,Positive,0.3182,0.697,0.303,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,38,SPEAKER_1,146.2,151.8,5.6,What was the reason you showed interest in the Coorg location?,Agent,Positive,0.4588,0.231,0.769,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,39,SPEAKER_2,152.4,156.1,3.7,"Okay, okay. It's a little far.",Customer,Positive,0.4215,0.487,0.513,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,40,SPEAKER_1,160.2,163.6,3.4,"Okay, due to the long distance, you showed interest, right?",Agent,Positive,0.5994,0.38,0.62,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,41,SPEAKER_2,164.1,164.6,0.5,"Yeah, yeah.",Customer,Positive,0.5267,1.0,0.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,42,SPEAKER_1,165.2,170.3,5.1,"Okay, so you finally canceled this plan. What was the reason?",Agent,Positive,0.2263,0.16,0.84,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,43,SPEAKER_2,171.7,176.5,4.8,"Actually, I couldn't get leave for that day, so...",Customer,Neutral,0.0382,0.125,0.875,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,44,SPEAKER_1,177.7,180.5,2.8,There was a time issue.,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,45,SPEAKER_2,180.8,181.8,1.0,"Yeah, thank you.",Customer,Positive,0.5719,0.825,0.175,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,46,SPEAKER_1,182.3,188.2,5.9,"Okay, time issue. Was there any other reason for not attending the event?",Agent,Positive,0.2263,0.137,0.863,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,47,SPEAKER_2,198.3,199.3,1.0,"No, only time.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,48,SPEAKER_1,199.6,203.0,3.4,"So, are you currently looking for any more outdoor experiences?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,49,SPEAKER_2,204.4,210.3,5.9,"Actually, not now, but I will in the future.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,50,SPEAKER_1,211.1,230.8,19.7,"Okay, so you are not looking now, but in the future, you will. When should we inform you about the",Agent,Positive,0.1154,0.071,0.929,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,51,SPEAKER_2,231.4,232.9,1.5,Within 2 to 4 weeks.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,52,SPEAKER_1,233.3,240.9,7.6,2 to 4 weeks. Is there anything we can improve in the Mahindra Adventures event?,Agent,Positive,0.6486,0.29,0.71,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,53,SPEAKER_2,242.3,257.9,15.6,"Actually, if the program is conducted in the Kerala region or South region more often, there's a lot of",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,54,SPEAKER_1,258.4,262.9,4.5,"Okay, so there should be more options for the South region, especially Kerala, right?",Agent,Positive,0.2263,0.128,0.872,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,55,SPEAKER_2,262.3,265.5,3.2,Right.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,56,SPEAKER_1,268.2,272.3,4.1,Is there anything else we can improve in our adventure events?,Agent,Positive,0.6369,0.366,0.634,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,57,SPEAKER_2,274.3,279.4,5.1,"No, thatâ€™s all.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,58,SPEAKER_1,279.4,287.5,8.1,"Okay. Thank you, sir. Your feedback has been captured. As you mentioned, due to the time issue, you",Agent,Positive,0.5267,0.216,0.784,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,59,SPEAKER_2,287.7,288.4,0.7,"Yes, sir.",Customer,Positive,0.4019,0.73,0.27,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,60,SPEAKER_1,288.6,292.9,4.3,"Okay, thank you, Mr. Naz, for your feedback. Have a nice day, Mr. Naz.",Agent,Positive,0.7351,0.396,0.604,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,61,SPEAKER_2,293.1,293.9,0.8,"Okay, thank you, thank you.",Customer,Positive,0.7096,0.775,0.225,0.0,No,,False,,,,
run_003,2026-07-02T16:39:47,Other,A006,Dheeraj,Medium,registry_name_match,CALL006,62,SPEAKER_1,294.1,294.8,0.7,You're welcome.,Agent,Positive,0.4588,0.75,0.25,0.0,No,,False,,,,
